job_id,job_title,required_skills,min_years_experience,max_years_experience,salary_min,salary_max,salary_currency,job_location,remote_allowed,job_posted_date,company_size,industry
16,Full Stack Developer,MongoDB|Java|Tailwind,5.0,8.0,60000,73000,USD,Remote,No,2024-02-13,201-1000,Blockchain
17,Senior Backend Developer,Django|Spring|Java|Linux|Redis,7.0,9.0,132000,184000,USD,Paris ,Yes,2023-09-18,51-200,Manufacturing
18,Junior Full Stack Developer,Redis|Problem-Solving|CSS|SASS|Communication,0.0,3.0,31000,39000,EUR,Hamburg,No,2024-07-15,51-200,Real Estate
19,ML Engineer,Scikit-learn|SQL|PyTorch|Docker|PostgreSQL|SQL|LightGBM|PyTorch,3.0,,2520000000,3150000000,IRR,Toronto,No,2023-03-16,11-50,Biotech
20,Junior Backend Developer,REST API|FastAPI|Django,2.0,,30000,41000,USD,Madrid,No,2024-04-12,1000+,Cloud
21,Head of Data,Agile|SASS|Tailwind|GraphQL|Communication|Scrum,12.0,15.0,143000,167000,USD,London,Yes,2023-10-20,201-1000,Biotech
22,ML Engineer,PySpark|Git|XGBoost|PySpark|dbt|YAML,2.0,7.0,100000,122000,USD,Remote,No,2023-11-02,201-1000,AdTech
23,Principal Engineer,MongoDB|PostgreSQL|CICD,14.0,17.0,5880000000,7880000000,IRR,Vancouver,No,2024-02-08,,Media
24,Systems Engineer,Spring|Redis|Communication|TypeScript|GraphQL|Git,2.0,4.0,84000,98000,EUR,Qom,Yes,2023-02-01,11-50,Logistics
25,Engineering Manager,YAML|C#|Agile|Communication,8.0,13.0,170000,204000,USD,Sydney,No,2023-03-19,201-1000,Healthcare
26,Lead Architect,CICD|MySQL|Linux|Docker|PostgreSQL|Python,15.0,20.0,130000,186000,EUR,Munich,No,2024-06-18,1000+,AI/ML
27,Web Developer,Spring|Tailwind|FastAPI,5.0,9.0,64000,84000,USD,Boston,Yes,2023-09-22,11-50,InsurTech
28,Senior Software Engineer,GraphQL|CICD|SASS|Tailwind|RabbitMQ|Git|Linux|Express,10.0,14.0,148000,210000,USD,Seattle,Yes,2024-03-11,11-50,Logistics
29,Systems Engineer,React|Flask|Flask|Testing|GraphQL|Angular|Docker|YAML,2.0,6.0,66000,76000,USD,Seattle,No,2023-02-16,11-50,Fintech
30,Lead Architect,Django|JavaScript|Communication|GraphQL|C#,14.0,16.0,140000,191000,USD,Berlin,No,2023-11-08,11-50,Transportation
31,Senior Frontend Developer,CSS|Angular|Redux|Redux|JavaScript|Redux|SASS,6.0,8.0,100000,123000,USD,Paris,Yes,2023-03-18,201-1000,Biotech
32,ENGINEERING MANAGER,YAML|Flask|REST API|C#|Kubernetes|FastAPI|CICD|Agile,10.0,14.0,140000,182000,USD,Madrid,Hybrid,2023-10-23,51-200,SaaS
33,Junior Data Analyst,TensorFlow|Git|SQL|LightGBM|Python|TensorFlow|YAML,0.0,4.0,30000,43000,USD,Isfahan,No,2024-10-12,11-50,Travel
34,Principal Engineer,JavaScript|Tailwind|Linux|Problem-Solving|Angular|Problem-Solving|Linux,14.0,16.0,162000,213000,EUR,San Francisco,No,2024-02-28,11-50,Blockchain
35,Junior Web Developer,GraphQL|C#|JavaScript|Webpack|FastAPI|Testing|React|Angular,2.0,4.0,33000,45000,USD,Dubai,No,2023-06-07,51-200,Real Estate
36,Director of Engineering,Docker|Testing|Agile|TypeScript|Angular|Svelte|Svelte,13.0,15.0,166000,216000,USD,Vancouver,No,2024-08-24,201-1000,Blockchain
37,Senior Frontend Developer,SASS|Vue|Redux|CSS,8.0,13.0,107000,134000,USD,New York,Hybrid,2024-10-29,11-50,Real Estate
38,Junior Software Engineer,Agile|REST API|Node.js|Linux|GraphQL|Spring|Problem-Solving|MongoDB,1.0,6.0,1330000000,1540000000,IRR,Mashhad,No,2024-05-14,11-50,SaaS
39,Senior Full Stack Developer,C#|Tailwind|Django|Express|JavaScript|JavaScript|PostgreSQL|Svelte,7.0,13.0,160000,215000,USD,Isfahan,No,2023-07-04,201-1000,AdTech
40,Engineering Manager,Python|RabbitMQ|Communication|CICD|Kubernetes|Agile|Linux|GraphQL,12.0,16.0,220000,255000,USD,Shiraz,No,2024-01-29,51-200,Automotive
41,Senior DevOps Engineer,Testing|Java|Prometheus|Linux|GitLab-CI|Azure|Nginx|Nginx,7.0,11.0,123000,152000,EUR,Tabriz,No,2024-11-06,51-200,AI/ML
42,Senior ML Engineer,Problem-Solving|Redis|Scikit-learn|XGBoost|NumPy,7.0,10.0,146000,179000,USD,Hamburg,Yes,2024-05-08,11-50,AdTech
43,Senior DevOps Engineer,Kubernetes|Nginx|Jenkins|Docker|Azure,8.0,12.0,100000,118000,USD,Berlin,Hybrid,2024-01-16,201-1000,IoT
44,Junior DevOps Engineer,Azure|Grafana|Jenkins|Kubernetes|AWS|Docker|Docker|Azure,0.0,3.0,53000,67000,USD,Paris,Hybrid,2024-12-14,1000+,Cloud
45,Senior Software Engineer,MySQL|Flask|Tailwind|RabbitMQ|Scrum|Problem-Solving|C#|CICD,10.0,13.0,5100000000,6750000000,IRR,Qom,Yes,2024-04-10,11-50,Education
46,Lead Architect,Flask|YAML|Vue|Vue|Problem-Solving|Node.js|YAML,,7.0,6110000000,8690000000,IRR,remote,No,2023-06-28,1-10,Cybersecurity
47,Junior ML Engineer,SQL|Power BI|Tableau,2.0,5.0,1260000000,1570000000,IRR  ,Tehran,No,2024-04-14,51-200,Real Estate
48,Junior DevOps Engineer,Go|AWS|Spring|Prometheus,2.0,8.0,32000,38000,USD,Tokyo,No,2024-09-11,201-1000,Logistics
49,Senior Full Stack Developer,Tailwind|CSS|REST API|SASS|TypeScript,7.0,10.0,93000,128000,EUR,Isfahan,No,2023-04-04,1-10,Blockchain
50,Director of Engineering,Webpack|Svelte|REST API|Testing|Java,12.0,15.0,140000,175000,USD,Seattle,No,2023-04-21,1000+,LegalTech
51,Director of Engineering,,12.0,15.0,9240000000,12720000000,IRR,Istanbul,,2024-02-15,11-50,Travel
52,Engineering Manager,Problem-Solving|Go|Git|Node.js|Agile|Java|CICD|Linux,14.0,18.0,140000,199000,USD,Hamburg,No,2023-12-20,11-50,Cloud
53,Junior ML Engineer,TensorFlow|PyTorch|Problem-Solving|Linux,,7.0,53000,68000,USD,Sydney,No,2023-08-24,51-200,Real Estate
54,Junior DevOps Engineer,Jenkins|Linux|Grafana|Jenkins|Azure|Kubernetes|Jenkins,1.0,6.0,38000,49000,EUR,Shiraz,No,2023-04-01,51-200,Manufacturing
55,DevOps Engineer,Grafana|Kubernetes|Ansible|Docker|GCP|Nginx|Terraform,3.0,6.0,72000,85000,USD,Singapore,No,2024-11-02,201-1000,AI/ML
56,Systems Engineer,GraphQL|Go|GraphQL|Tailwind,4.0,6.0,90000,123000,USD,Hamburg,Hybrid,2023-02-28,51-200,Real Estate
57,Director of Engineering,GraphQL|YAML|Webpack,15.0,20.0,140000,195000,USD,Isfahan,Yes,2023-12-18,51-200,Transportation
58,Frontend Developer,REST API|Problem-Solving|Webpack|Redux|JavaScript|Svelte,4.0,,56000,74000,EUR,Boston,No,2024-11-03,51-200,IoT
59,Senior DevOps Engineer,Azure|JSON|Jenkins,7.0,13.0,100000,129000,USD,Manchester,No,2024-06-04,11-50,Education
60,backend developer,Docker|Java|PostgreSQL|Node.js|MongoDB|Node.js|Agile,3.0,,60000,76000,USD,Singapore,No,2024-03-30,201-1000,Energy
61,Data Scientist,Tableau|Communication|dbt|JSON|PySpark|Agile,3.0,,64000,75000,USD,San Francisco,No,2023-04-16,1000+,Education
62,SENIOR FULL STACK DEVELOPER,JavaScript|REST API|JavaScript|CSS|Next.js,8.0,10.0,100000,129000,USD,Tabriz,Hybrid,2024-10-27,11-50,Biotech
63,Tech Lead,,12.0,18.0,201000,285000,USD,Shiraz,No,2023-10-23,,Energy
64,CTO ,REST API|Git|Redux|HTML|Scrum,10.0,,9240000000,12350000000,IRR,Tokyo,No,2024-06-22,201-1000,Retail
65,Software Engineer,Problem-Solving|Scrum|Testing,2.0,6.0,82000,96000,USD,Karaj,Hybrid,2023-12-13,11-50,Education
66,Junior DevOps Engineer,Communication|Scrum|Docker,0.0,5.0,1260000000,1650000000,IRR,Toronto,No,2023-09-17,51-200,Healthcare
67,Senior ML Engineer,dbt|PostgreSQL|Scikit-learn|Power BI|Testing|Kafka,9.0,,100000,143000,USD,London,Yes,2023-07-04,201-1000,Gaming
68,Solutions Architect (Senior),,7.0,9.0,160000,226000,USD,Istanbul,Yes,2024-01-08,201-1000,E-commerce
69,Junior Web Developer,JavaScript|Redux|React|RabbitMQ|Problem-Solving|HTML|Tailwind,2.0,6.0,31000,43000,EUR,Karaj,No,2023-04-27,51-200,Real Estate
70,ML Engineer,Flask|Pandas|NumPy|SQL|Tableau|Django,5.0,9.0,56000,78000,EUR,Hamburg,Hybrid,2024-07-17,201-1000,Transportation
71,DevOps Engineer,Scrum|GraphQL|Docker|Terraform,4.0,7.0,56000,67000,EUR,Dubai,No,2023-11-13,1-10,Manufacturing
72,Junior DevOps Engineer,Agile|Nginx|Ansible|Grafana|Prometheus,0.0,2.0,28000,35000,EUR,London,Hybrid,2023-11-08,51-200,SaaS
73,Software Engineer,Agile|Express|Kubernetes|Go|Docker,3.0,9.0,63000,83000,USD,Tehran,No,2023-02-12,11-50,AI/ML
74,Senior Software Engineer,,9.0,14.0,141000,199000,USD,Isfahan,No,2024-02-20,51-200,Education
75,Systems Engineer,REST API|Agile|Problem-Solving|Docker|Kubernetes,3.0,6.0,60000,71000,USD,Paris,Yes,2024-01-29,201-1000,Manufacturing
76,Data Scientist,Tableau|Power BI|PyTorch|Power BI|Python|Linux|dbt,3.0,5.0,74000,97000,USD,Hamburg,No,2024-10-31,201-1000,LegalTech
77,Senior DevOps Engineer,Ansible|GCP|Terraform|Kubernetes|Communication|Kubernetes|REST API,9.0,15.0,100000,129000,USD,London,Yes,2024-02-08,51-200,E-commerce
78,Junior Data Analyst,GraphQL|NumPy|NumPy|Spark|Spark|Scikit-learn|dbt,2.0,8.0,28000,33000,EUR,New York,No,2024-12-26,201-1000,InsurTech
79,Junior Frontend Developer,Svelte|Svelte|Redux|Redux|Vue|Testing|JavaScript|Redux,2.0,7.0,30000,35000,USD,Dubai,,2023-02-02,11-50,Biotech
80,ML Engineer,R|NumPy|XGBoost|Spark|Power BI|dbt,3.0,9.0,60000,73000,USD,Dubai,Hybrid,2024-11-28,51-200,Telecom
81,Solutions Architect,PostgreSQL|Tailwind|Problem-Solving|Kubernetes|Testing|Communication,5.0,9.0,3250000000,4470000000,IRR,Dubai,No,2023-10-25,11-50,Blockchain
82,Web Developer,TypeScript|Redux|SASS|Redux,2.0,5.0,60000,80000,USD,Singapore,Hybrid,2024-04-28,201-1000,Energy
83,Tech Lead,PostgreSQL|Angular|CICD|Java|Go,11.0,13.0,6990000000,9110000000,IRR,Mashhad,No,2023-06-30,1000+,Telecom
84,Junior Data Analyst ,PyTorch|Tableau|Power BI|NumPy|Tableau,0.0,4.0,30000,37000,EUR,Qom,Hybrid,2024-08-04,201-1000,SaaS
85,Senior DevOps Engineer,GitLab-CI|Terraform|GCP|Docker,6.0,10.0,100000,142000,USD,Manchester,Yes,2023-01-12,51-200,Transportation
86,Database Administrator,MySQL|FastAPI|FastAPI|Agile|GraphQL,4.0,9.0,56000,73000,EUR,Vancouver,Yes,2023-08-12,201-1000,SaaS
87,Lead Architect,Vue|YAML|Next.js|Node.js|Django|PostgreSQL|JSON,11.0,17.0,140000,202000,USD,Madrid,No,2023-05-16,1-10,Cybersecurity
88,Junior Backend Developer,Redis|MySQL|Go,0.0,,1670000000,2000000000,IRR,Toronto,Hybrid,2024-10-18,1000+,Media
89,Senior Frontend Developer ,TypeScript|React|Next.js|CSS|Next.js,6.0,10.0,100000,144000,USD,Sydney,Yes,2024-03-10,1000+,LegalTech
90,Jr. Full Stack Developer,FastAPI|Flask|Linux,0.0,2.0,37000,52000,USD ,Hamburg,No,2023-02-27,201-1000,Manufacturing
91,Full Stack Developer,Next.js|FastAPI|Redis|Angular|Communication|JavaScript|Next.js|Django,5.0,,60000,75000,USD,London,Yes,2024-01-26,201-1000,AdTech
92,DevOps Engineer,Docker|Ansible|Jenkins|Jenkins|Ansible|Ansible,3.0,5.0,2990000000,3960000000,IRR,Sydney,No,2023-04-05,1000+,Logistics
93,Director of Engineering,Communication|Git|Flask|Scrum|Testing,15.0,18.0,140000,190000,USD,Amsterdam,No,2023-11-26,1000+,Real Estate
94,Junior Software Engineer,Flask|MySQL|Problem-Solving|REST API|Git,0.0,,38000,54000,USD,Qom,Hybrid,2024-03-03,201-1000,Automotive
95,Senior Backend Developer,Kafka|GraphQL|Django|MySQL|Agile|Node.js|Kubernetes|Kafka,9.0,15.0,142000,169000,USD,Tehran,Yes,2024-11-15,1-10,Transportation
96,Engineering Manager,Kafka|CICD|GraphQL|Git|Python|Kubernetes|JSON|REST API,,9.0,151000,213000,USD,Vancouver,Yes,2024-05-29,201-1000,AdTech
97,Data Scientist,TensorFlow|REST API|SQL|Airflow|dbt,3.0,5.0,76000,99000,EUR,Amsterdam,No,2023-02-02,11-50,Travel
98,Senior Backend Developer,Docker|Git|FastAPI,10.0,12.0,4200000000,5510000000,IRR,Austin,Hybrid,2023-10-15,,Logistics
99,Backend Developer,Linux|Express|Django|YAML|FastAPI|MongoDB,4.0,6.0,66000,88000,USD,Berlin,No,2023-02-24,51-200,LegalTech
100,Systems Engineer,Kafka|Vue|MySQL|JSON|REST API|REST API,5.0,8.0,56000,77000,EUR,Tokyo,No,2023-06-07,1-10,Telecom
101,Solutions Architect (Senior),Go|React|REST API|GraphQL,9.0,,137000,162000,USD,Remote,No,2024-09-04,1000+,AdTech
102,Lead Architect,Agile|Spring|Express|Communication,9.0,13.0,140000,167000,USD,Istanbul,Yes,2023-09-15,51-200,Media
103,Senior Backend Developer,RabbitMQ|PostgreSQL|Redis|Node.js|Express,10.0,15.0,4200000000,5270000000,IRR,Austin,Yes,2024-12-12,51-200,AI/ML
104,Data Scientist,Python|Testing|Tableau|XGBoost|Tableau|Communication|SQL|PySpark,3.0,6.0,60000,78000,EUR,Boston,No,2023-03-17,201-1000,Blockchain
105,Junior Data Analyst,SQL|Pandas|Scrum|CICD|Airflow|Scikit-learn|CICD,2.0,7.0,1260000000,1670000000,IRR,Shiraz,No,2024-03-16,201-1000,Real Estate
106,Senior ML Engineer,NumPy|Airflow|Python|GraphQL|Linux|PyTorch|PySpark,5.0,8.0,115000,166000,USD,Manchester,No,2023-07-31,51-200,Biotech
107,Junior Full Stack Developer,Svelte|Django|Testing|Scrum|Next.js|React|Kubernetes|Django,1.0,6.0,38000,44000,EUR,Tehran,No,2024-11-04,1-10,Logistics
108,ML Engineer,Pandas|Scikit-learn|Airflow,5.0,10.0,60000,86000,USD,Amsterdam,Hybrid,2024-09-03,1000+,Biotech
109,Database Administrator,Agile|Problem-Solving|C#|Scrum|Communication|Linux|Agile|Problem-Solving,5.0,10.0,60000,85000,USD,Toronto,Yes,2024-07-04,11-50,Real Estate
110,Junior ML Engineer,NumPy|XGBoost|dbt|Power BI|PySpark|Power BI,1.0,,30000,43000,USD,Berlin,No,2023-10-27,201-1000,Blockchain
111,Head of Data,Problem-Solving|JSON|Git|Svelte|RabbitMQ|Kubernetes|Scrum,9.0,12.0,140000,199000,USD,Remote,Hybrid,2024-04-05,11-50,InsurTech
112,Senior Data Scientist,Scikit-learn|NumPy|XGBoost|XGBoost|R|Airflow,9.0,13.0,122000,169000,USD,Vancouver,No,2024-06-10,1-10,Cybersecurity
113,Junior Web Developer,SASS|HTML|Vue|Svelte,1.0,5.0,28000,34000,EUR,Singapore,Yes,2023-03-19,51-200,Energy
114,Systems Engineer,TypeScript|SASS|GraphQL|CICD|MySQL|Linux|JSON|REST API,5.0,9.0,59000,81000,EUR,Remote,No,2024-08-14,,Healthcare
115,ENGINEERING MANAGER,Redis|Scrum|Testing,12.0,16.0,174000,201000,USD,Toronto,No,2023-03-26,11-50,IoT
116,Software Developer Intern,,0.0,5.0,30000,35000,USD,Paris,Yes,2023-05-04,201-1000,Healthcare
117,Systems Engineer,Node.js|CICD|Node.js|Linux|JSON|YAML,,12.0,74000,104000,USD,Boston,Yes,2023-06-05,201-1000,AI/ML
118,Senior Frontend Developer,Vue|Angular|Webpack|TypeScript,9.0,11.0,106000,150000,EUR,Boston,Yes,2023-11-05,,AdTech
119,Principal Engineer,YAML|Linux|JSON|Git|Problem-Solving|PostgreSQL|Agile|CSS,14.0,19.0,5880000000,7220000000,IRR,Tehran,,2023-01-18,,Media
120,Head of Data,REST API|MongoDB|Linux|Kubernetes|JSON|Node.js,12.0,15.0,192000,246000,USD,Toronto,No,2024-10-11,1000+,E-commerce
121,Full Stack Developer,Java|Communication|Webpack|Django|Linux|JavaScript|Testing,2.0,8.0,60000,69000,USD,Tabriz,No,2023-09-23,1000+,Manufacturing
122,Senior Full Stack Developer,Go|Tailwind|Tailwind|Docker|MySQL|JavaScript|GraphQL|Redux,6.0,12.0,139000,167000,EUR,Remote,No,05/06/2024,11-50,E-commerce
123,Director of Engineering,REST API|Scrum|HTML|Scrum|Redis|Testing|PostgreSQL|Spring,13.0,15.0,140000,161000,USD,Isfahan,No,2023-02-17,11-50,Real Estate
124,Junior Backend Developer,FastAPI|GraphQL|Problem-Solving|Kafka|Flask,2.0,4.0,1480000000,2000000000,irr,Vancouver,No,10/12/2023,1000+,Travel
125,Principal Engineer,Testing|Angular|Linux|Git,14.0,16.0,140000,168000,USD,Isfahan,No,2024-10-14,51-200,Manufacturing
126,Senior DevOps Engineer,GitLab-CI|Azure|GCP|Kubernetes|GCP,9.0,14.0,101000,125000,USD,Singapore,Yes,2024-07-02,11-50,Automotive
127,Database Administrator,Scrum|PostgreSQL|Agile,3.0,5.0,56000,76000,EUR,Amsterdam,No,2023-06-28,11-50,Education
128,JUNIOR FULL STACK DEVELOPER,Problem-Solving|Webpack|Go|Spring|Go|JavaScript,0.0,3.0,60000,70000,USD,Madrid,No,2023-12-06,51-200,Media
129,Senior Full Stack Developer,Angular|Angular|RabbitMQ|React,9.0,14.0,100000,136000,USD,Amsterdam,Hybrid,2023-03-04,201-1000,Blockchain
130,Junior Frontend Developer,Tailwind|Next.js|Svelte|Tailwind|HTML,2.0,4.0,51000,63000,USD,New York,Hybrid,2023-10-15,11-50,Automotive
131,Full Stack Developer,JavaScript|FastAPI|MongoDB|Problem-Solving|Django|Agile|FastAPI|PostgreSQL,4.0,,76000,104000,EUR,Qom,Hybrid,2024-07-31,11-50,E-commerce
132,Software Developer Intern ,,1.0,4.0,31000,43000,USD,Tabriz,No,2023-11-28,1000+,SaaS
133,Senior ML Engineer,Pandas|Spark|Express|Spark|NumPy|Scikit-learn|Testing,10.0,13.0,105000,126000,EUR,Berlin,No,2024-09-20,51-200,Gaming
134,Junior Backend Developer,Java|Agile|PostgreSQL|FastAPI|C#|GraphQL,2.0,6.0,32000,46000,USD,Vancouver,No,2023-04-01,11-50,SaaS
135,Senior Data Scientist,Git|dbt|GraphQL,6.0,11.0,100000,140000,USD,Austin,Yes,2024-05-05,,E-commerce
136,Solutions Architect,PostgreSQL|React|MongoDB,2.0,4.0,78000,93000,USD,Paris,Hybrid,2024-05-09,11-50,Logistics
137,Data Scientist,TensorFlow|PyTorch|PyTorch|LightGBM|Pandas|R|dbt|Power BI,-1.0,,76000,108000,EUR,Tehran,Hybrid,2024-05-06,11-50,Media
138,Tech Lead,CICD|Kubernetes|MongoDB,14.0,18.0,140000,198000,USD,Tabriz,Yes,2023-10-03,201-1000,LegalTech
139,DevOps Engineer,Jenkins|Kubernetes|Grafana|GraphQL|Prometheus|Scrum|GitLab-CI,5.0,11.0,60000,78000,USD,Boston,No,2024-08-08,11-50,Logistics
140,Data Scientist,PySpark|Scrum|CICD|NumPy|TensorFlow|Spark|SQL|SQL,5.0,11.0,92000,109000,USD,San Francisco,Yes,2024-12-18,201-1000,Healthcare
141,Junior Software Engineer,JSON|Problem-Solving|REST API|Communication|REST API,2.0,,30000,41000,USD,Amsterdam,Yes,2024-09-15,51-200,Retail
142,Junior Frontend Developer,Angular|GraphQL|SASS|Webpack|TypeScript,0.0,5.0,28000,40000,EUR,Isfahan,Hybrid,2024-03-02,201-1000,Retail
143,Junior ML Engineer,Testing|dbt|NumPy|Python|Agile,0.0,5.0,43000,56000,USD,Sydney,Hybrid,2023-07-23,11-50,Energy
144,Solutions Architect (Senior),Kubernetes|MySQL|MySQL|Django|Communication|Go|Express,5.0,8.0,6720000000,9680000000,IRR,Toronto,,2024-11-24,201-1000,Fintech
145,Tech Lead,Git|Scrum|Communication|Express|Spring|REST API|REST API,15.0,21.0,144000,175000,EUR,Vancouver,No,15/04/2023,51-200,Automotive
146,Junior Software Engineer,CICD|PostgreSQL|Spring|Spring|CICD,2.0,5.0,1260000000,1780000000,IRR,London,No,2024-09-06,11-50,Travel
147,Senior DevOps Engineer,,9.0,12.0,93000,132000,EUR,Vancouver,Yes,2024-05-02,201-1000,Telecom
148,Junior Software Engineer,Svelte|Next.js|Svelte|Django|PostgreSQL|CICD|Linux|Scrum,2.0,6.0,30000,37000,USD,New York,No,2024-04-19,51-200,Logistics
149,Head of Data,Express|REST API|Git|Agile|Node.js|Scrum|HTML,15.0,18.0,130000,173000,EUR,London,,2024-10-08,201-1000,Gaming
150,Lead Architect,Agile|Redis|CICD,14.0,16.0,140000,185000,USD,Singapore,No,2023-01-15,11-50,Biotech
151,Senior Data Scientist,PyTorch|Agile|SQL|R|Communication|Communication|Tableau,9.0,12.0,116000,157000,USD,Karaj,No,2024-01-03,201-1000,Education
152,ML Engineer,Pandas|MySQL|R|MongoDB,4.0,10.0,3260000000,4600000000,IRR,Mashhad,No,2024-10-31,51-200,Education
153,ML Engineer,PySpark|C#|TensorFlow|NumPy|Redis,2.0,6.0,67000,94000,USD,Singapore,Yes,2023-07-23,51-200,E-commerce
154,Director of Engineering,PostgreSQL|Scrum|Git|Python|Webpack|Go,15.0,,140000,172000,USD,Toronto,Yes,2023-04-14,11-50,Gaming
155,Junior Data Analyst,Spark|PySpark|Testing|Pandas|Linux|R|Git|NumPy,0.0,6.0,36000,43000,USD,Karaj,No,2024-01-17,201-1000,Energy
156,Senior Software Engineer,React|Java|Agile,9.0,14.0,106000,131000,USD,Remote,Hybrid,2024-01-03,1000+,Healthcare
157,Senior Software Engineer,PostgreSQL|Git|Docker|Testing|FastAPI|CICD|HTML|Next.js,10.0,13.0,112000,130000,USD,Sydney,No,2024-10-18,,Gaming
158,Head of Data,Linux|GraphQL|Problem-Solving|FastAPI,12.0,17.0,140000,190000,USD,Austin,No,2024-04-15,51-200,IoT
159,Junior Frontend Developer,Next.js|JavaScript|Linux|Svelte|Redux|Redux|Webpack,2.0,7.0,1260000000,1480000000,IRR,Remote,No,2023-02-25,201-1000,Biotech
160,Solutions Architect (Senior),Git|Problem-Solving|MySQL|CICD,7.0,9.0,124000,148000,USD,Istanbul,No,2023-05-24,1000+,Media
161,ML Engineer,Spark|Linux|PySpark|R|Pandas|Tableau|GraphQL|NumPy,2.0,,2520000000,3060000000,IRR,Singapore,No,2024-05-09,11-50,Media
162,Systems Engineer,Testing|FastAPI|Communication|CSS|Problem-Solving|Angular|GraphQL,3.0,9.0,67000,95000,USD,Seattle,No,2023-11-18,51-200,Automotive
163,Junior Web Developer,Docker|Kubernetes|PostgreSQL|C#,2.0,7.0,28000,32000,EUR,Remote,,2024-06-30,51-200,E-commerce
164,Junior ML Engineer,Communication|TensorFlow|Node.js|R,1.0,5.0,31000,37000,EUR,Remote,No,2024-11-22,201-1000,Biotech
165,Solutions Architect,,5.0,9.0,2820000000,3610000000,IRR,Remote,Hybrid,2023-09-15,201-1000,IoT
166,Senior ML Engineer,XGBoost|XGBoost|PyTorch|Tableau|Scikit-learn|Go|Scikit-learn,10.0,15.0,100000,129000,USD,Munich,Yes,2023-06-14,51-200,E-commerce
167,Database Administrator,Linux|Testing|Problem-Solving|JSON|FastAPI,2.0,8.0,82000,115000,USD,Vancouver,Yes,2023-08-15,201-1000,Blockchain
168,Junior Backend Developer,FastAPI|Java|PostgreSQL|MongoDB,0.0,4.0,30000,37000,USD,San Francisco,,2024-01-19,11-50,Transportation
169,Software Developer Intern,Next.js|Git|CICD|Go|Flask|Flask|CICD,0.0,5.0,30000,35000,EUR,Madrid,,2024-12-03,,Gaming
170,Software Engineer,Communication|REST API|REST API|GraphQL,5.0,7.0,60000,71000,USD,Istanbul,Yes,2024-09-25,11-50,Automotive
171,Database Administrator,MongoDB|MongoDB|Webpack|Git|GraphQL|Agile,3.0,9.0,91000,106000,USD,Tokyo,Hybrid,2023-11-02,,Blockchain
172,Backend Developer,,2.0,6.0,79000,113000,USD,Karaj,Yes,2024-06-08,201-1000,E-commerce
173,Director of Engineering,CICD|Go|Spring|TypeScript|Flask,15.0,18.0,140000,195000,USD,Madrid,No,2023-07-18,201-1000,Manufacturing
174,Senior Full Stack Developer,Redis|Communication|HTML|React,7.0,11.0,128000,165000,EUR,Boston,Hybrid,2023-04-22,11-50,InsurTech
175,Junior DevOps Engineer,Grafana|Docker|Prometheus|Prometheus|Jenkins|Nginx|Prometheus,0.0,6.0,30000,43000,USD,Singapore,Yes,2024-01-10,11-50,Retail
